# zLya k PLya stat Pnoise PSB
3.8 0.013008 37.3298 1.73603 11.6994 1.76614
3.8 0.01355 38.2443 1.86882 12.4679 1.76299
3.8 0.014092 40.2987 2.04658 13.3962 1.75153
3.8 0.014634 35.0794 1.90621 14.5703 1.7362
3.8 0.015176 34.0175 1.85272 15.647 1.72244
3.8 0.015718 37.923 2.04287 17.1171 1.71655
3.8 0.01626 32.6387 1.9256 18.4907 1.72546
3.8 0.016802 29.5806 1.73033 20.222 1.75649
3.8 0.017344 31.3718 1.94013 22.3149 1.81699
3.8 0.017886 32.568 2.27519 24.4074 1.91408
3.8 0.018428 34.3236 2.28522 27.1511 2.0541
3.8 0.01897 34.6785 2.28499 29.7921 2.24228
3.8 0.019512 30.2034 2.07428 33.1313 2.48208
4 0.001084 105.491 6.1043 6.36208 4.57672
4 0.001626 110.64 6.72045 6.45435 3.97898
4 0.002168 90.1006 5.42939 6.50774 3.43855
4 0.00271 90.938 5.51083 6.59538 2.96361
4 0.003252 86.182 4.34997 6.72262 2.55939
4 0.003794 75.932 4.41175 6.86799 2.22837
4 0.004336 75.6438 4.26764 7.03878 1.97048
4 0.004878 76.4692 4.5867 7.19902 1.78341
4 0.00542 74.7513 4.16575 7.47518 1.66286
4 0.005962 73.4573 4.31474 7.71158 1.60286
4 0.006504 64.696 3.64206 7.95354 1.59613
4 0.007046 54.6413 3.43824 8.37499 1.63437
4 0.007588 57.355 3.86085 8.81358 1.70863
4 0.00813 58.372 3.48646 9.14075 1.80966
4 0.008672 58.5115 3.88074 9.57242 1.92823
4 0.009214 48.2564 3.32077 9.90629 2.05549
4 0.009756 55.9646 3.38936 10.5427 2.18324
4 0.010298 56.1248 3.4917 11.0447 2.30425
4 0.01084 53.7113 3.46886 11.9952 2.41252
4 0.011382 52.1839 3.35988 12.6133 2.50349
4 0.011924 50.6089 3.38586 13.5354 2.57428
4 0.012466 43.5494 3.19097 14.5512 2.6238
4 0.013008 45.8175 3.52496 15.7039 2.65284
4 0.01355 48.7686 3.29302 17.2035 2.66418
4 0.014092 38.0917 3.0639 18.1266 2.66252
4 0.014634 44.7038 3.80824 20.0589 2.65443
4 0.015176 41.2378 3.32695 21.8834 2.6482
4 0.015718 43.5506 3.25442 23.9935 2.65361
4 0.01626 43.6109 3.67684 26.21 2.68166
4 0.016802 48.3099 4.01255 29.1754 2.74412
4 0.017344 39.2841 3.77726 32.1476 2.85312
4 0.017886 51.292 4.41719 35.9798 3.02052
4 0.018428 44.1357 4.34845 39.8216 3.25725
4 0.01897 39.3316 4.38586 44.4738 3.57254
4 0.019512 42.5366 5.14944 50.8914 3.97297
4.2 0.001084 135.392 10.4055 6.15646 3.37988
4.2 0.001626 110.324 9.03288 6.16801 2.91954
4.2 0.002168 124.255 8.51098 6.25932 2.50743
4.2 0.00271 118.33 8.57383 6.37254 2.14831
4.2 0.003252 96.689 7.5067 6.59116 1.84476
4.2 0.003794 102.1 8.09968 6.65837 1.59739
4.2 0.004336 103.89 8.06327 6.84235 1.40511
4.2 0.004878 104.223 7.20583 7.05251 1.26529
4.2 0.00542 89.2571 7.03601 7.28972 1.17402
4.2 0.005962 70.05 5.22974 7.44933 1.12636
4.2 0.006504 81.318 6.75617 7.88392 1.11656
4.2 0.007046 75.0163 5.93104 8.16096 1.13832
4.2 0.007588 76.2652 5.82753 8.72067 1.18503
4.2 0.00813 79.0853 6.06245 9.05237 1.25
4.2 0.008672 71.4591 5.75979 9.44547 1.32666
4.2 0.009214 84.5193 8.31308 10.6686 1.40884
4.2 0.009756 73.8474 5.94117 10.445 1.49088
4.2 0.010298 66.6827 5.78321 11.1166 1.56791
4.2 0.01084 63.1344 6.27233 11.9224 1.6359
4.2 0.011382 52.2072 4.69653 12.7956 1.69191
4.2 0.011924 68.5668 6.64125 13.8349 1.7341
4.2 0.012466 63.7454 6.62097 14.9555 1.76188
4.2 0.013008 58.6259 5.3142 16.1776 1.77594
4.2 0.01355 55.2849 6.13053 17.5678 1.77823
4.2 0.014092 53.4202 4.94962 18.9253 1.77199
4.2 0.014634 55.6727 5.59466 20.7181 1.76165
4.2 0.015176 54.9833 5.48053 22.8546 1.75272
4.2 0.015718 48.7356 5.12709 25.3026 1.75165
4.2 0.01626 58.1318 6.10483 27.698 1.76559
4.2 0.016802 49.0576 6.67989 31.5207 1.80218
4.2 0.017344 55.6008 6.05085 35.077 1.86918
4.2 0.017886 46.6831 6.43962 38.5055 1.97413
4.2 0.018428 63.0231 8.26358 42.6539 2.12391
4.2 0.01897 43.9821 6.24097 48.9121 2.32421
4.2 0.019512 55.0749 7.8045 55.669 2.57902
4.4 0.001084 152.665 13.3022 7.09164 3.58035
4.4 0.001626 116.254 11.1363 7.06106 3.08935
